,title,total_sales_USDMM
160,Skylanders Imaginators,0.23
161,Cave Story+,0.15
162,Paw Patrol on a Roll,0.13
163,Shantae: Half-Genie Hero,0.12
164,Poi,0.07
165,Scribblenauts: Showdown,0.07
166,The End is Nigh,0.06
167,Owlboy,0.05
168,Little Nightmares,0.05
169,Toki Collector's Edition,0.05
170,Wonder Boy: The Dragon's Trap (Remake),0.05
171,Salt and Sanctuary,0.03
172,Flashback,0.03
173,de Blob 2,0.03
174,Mega Man X Legacy Collection 1+2,0.03
175,The Liar Princess and the Blind Prince,0.02
176,Runner3,0.02
177,Mega Man X Legacy Collection 1,0.01
178,Candle: The Power of the Flame,0.01
179,Mega Man X Legacy Collection 2,0.01
180,SteamWorld Dig 2,0.01
181,Giana Sisters: Twisted Dreams,0.01
182,Super Putty Squad,0.01
183,Captain Toad: Treasure Tracker,70.8
184,Super Bomberman R,0.87
185,Puyo Puyo Tetris,0.55
186,Bendy and the Ink Machine,0.17
187,"Snipperclips Plus: Cut It Out, Together!",0.12
188,Sushi Striker: The Way of Sushido,0.07
189,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy DX,0.03
190,"Soldam: Drop, Connect, Erase",0.02
191,Lumo,0.02
192,Gotouchi Tetsudou for Nintendo Switch!!,0.02
193,The Mahjong,0.0
194,Mario Kart 8 Deluxe,1486.2
195,Nintendo Labo: Toy-Con 03 Vehicle Kit,0.41
196,Cars 3: Driven to Win,0.32
197,Gear.Club Unlimited,0.15
198,Nickelodeon Kart Racers,0.13
199,MXGP 3: The Official Motocross Videogame,0.08
200,Monster Jam: Crush It,0.08
201,Spintires: MudRunner - American Wilds,0.06
202,Snow Moto Racing Freedom,0.03
203,Monster Energy Supercross - The Official Videogame,0.03
204,Aqua Moto Racing Utopia,0.03
205,Gear Club Unlimited 2,0.02
206,GRIP: Combat Racing,0.02
207,Moto Racer 4,0.01
208,All-Star Fruit Racing,0.01
209,Trailblazers,0.01
210,ATV Drift & Tricks,0.01
211,Pokémon Shield,1042.2
212,"Pokémon: Let's Go, Pikachu/Eevee",718.2
213,"Pokémon: Let's Go, Pikachu!",4.57
214,Fire Emblem: Three Houses,172.20000000000002
215,"Pokémon: Let's Go, Eevee!",2.73
216,Xenoblade Chronicles 2,103.8
217,Octopath Traveler,90.0
218,Pokémon Mystery Dungeon: Rescue Team DX,75.6
219,The Elder Scrolls V: Skyrim,1.15
220,The Witcher 3: Complete Edition,42.0
221,Disgaea 5 Complete,0.34
222,Dark Souls: Remastered,0.33
223,The World Ends with You: Final Remix,0.27
224,Dragon Quest Builders: Revive Alefgard,0.22
225,Xenoblade Chronicles 2: Torna ~ The Golden Country,0.16
226,Moonlighter,9.0
227,South Park: The Fractured But Whole,0.14
228,The Snack World: Trejarers Gold,0.12
229,Ys VIII: Lacrimosa of Dana,0.11
230,Dragon Quest Heroes I & II for Nintendo Switch,0.09
231,Shining Resonance Refrain,0.09
232,Seiken Densetsu Collection,0.07
233,Victor Vran: Overkill Edition,0.06
234,Disgaea 1 Complete,0.06
235,Portal Knights,0.06
236,I am Setsuna,0.05
237,Battle Chasers: Nightwar,0.05
238,Lost Sphear,0.04
239,Darkest Dungeon,0.03
240,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,0.03
241,The Lost Child,0.03
242,Labyrinth of Refrain: Coven of Dusk,0.02
243,SaGa: Scarlet Grace,0.02
244,Undertale,0.02
245,Touhou Genso Wanderer Reloaded,0.02
246,Beyblade Burst: Battle Zero,0.02
247,Fallen Legion: Rise to Glory,0.02
248,Banner Saga Trilogy,0.01
249,The Princess Guide,0.01
250,Lapis x Labyrinth,0.01
251,WORKxWORK,0.01
252,Atelier: The Alchemist of Arland 1-2-3 DX,0.01
253,Minecraft,1.89
254,Splatoon 2,607.8000000000001
255,Fortnite,0.69
256,Doom (2016),0.43
257,Payday 2,0.12
258,Wolfenstein II: The New Colossus,0.11
